Date,S&P500,AAL,ALGT,ALK,DAL,HA,LUV,BCS,CS,DB,GS,MS,WFC,BHC,JNJ,MRK,PFE,RHHBY,UNH,AAPL,AMZN,FB,GOOG,IBM,MSFT
31-03-2020,2584.590088,12.19,81.800003,28.469998999999998,28.530001000000002,10.44,35.610001000000004,4.53,8.09,6.42,154.58999599999999,34.0,28.700001,15.5,131.130005,76.940002,32.639998999999996,40.57,249.38000499999998,63.572497999999996,1949.719971,166.800003,1162.810059,110.93,157.71000700000002
01-04-2020,2470.5,10.69,71.290001,26.35,23.870001000000002,9.84,32.040001000000004,4.05,7.67,5.96,145.28999299999998,31.620001000000002,26.57,13.75,128.809998,73.800003,31.75,40.799999,237.32000699999998,60.227501000000004,1907.699951,159.600006,1105.619995,105.139999,152.110001
02-04-2020,2526.899902,10.06,69.5,24.66,22.68,9.55,31.5,4.01,7.89,6.02,149.929993,33.900002,27.219998999999998,13.58,133.149994,76.870003,32.869999,41.650002,240.440002,61.232498,1918.8299559999998,158.190002,1120.839966,110.0,155.259995
03-04-2020,2488.649902,9.39,69.349998,24.690001000000002,22.48,9.54,30.540001,3.89,7.74,5.9,146.929993,33.849998,26.23,13.31,134.169998,76.25,33.639998999999996,41.119999,229.49000499999997,60.352501000000004,1906.589966,154.179993,1097.880005,106.339996,153.830002
06-04-2020,2663.679932,9.5,74.860001,26.67,22.32,9.75,30.700001,4.23,8.31,6.38,158.229996,37.009997999999996,28.629998999999998,14.62,139.759995,80.309998,34.57,41.650002,248.33999599999999,65.6175,1997.589966,165.550003,1186.920044,114.82,165.270004
07-04-2020,2659.409912,10.22,81.629997,29.030001000000002,22.25,10.62,32.77,4.53,8.39,6.64,166.020004,36.939999,28.77,14.85,137.479996,78.559998,33.610001000000004,40.02,248.039993,64.85749799999999,2011.5999760000002,168.830002,1186.51001,114.940002,163.490005
08-04-2020,2749.97998,11.33,79.220001,29.139999,23.23,11.21,34.299999,4.57,8.47,6.54,176.96000700000002,39.369999,30.280001000000002,15.68,143.259995,81.620003,34.599998,40.349998,267.829987,66.51750200000001,2043.0,174.279999,1210.280029,119.290001,165.130005
09-04-2020,2789.820068,12.51,83.33000200000001,31.610001,24.389999,11.82,36.470001,4.88,8.87,6.69,184.259995,41.080002,33.200001,18.01,141.229996,82.489998,35.389998999999996,39.75,264.130005,66.997498,2042.7600100000002,175.190002,1211.449951,121.5,165.139999
13-04-2020,2761.6298829999996,11.56,75.879997,29.51,23.25,11.41,34.259997999999996,4.72,8.65,6.52,179.179993,39.580002,31.43,17.84,139.770004,80.540001,35.139998999999996,39.389998999999996,263.51001,68.3125,2168.8701170000004,174.78999299999998,1217.560059,121.150002,165.509995
14-04-2020,2846.060059,11.95,79.08000200000001,31.049999,24.540001,11.47,34.779999,4.69,8.73,6.85,178.229996,39.860001000000004,30.18,18.360001,146.029999,82.839996,36.439999,40.799999,270.5,71.762497,2283.320068,178.169998,1269.22998,123.910004,173.699997
